idCliente,idServidor,velocidad,distancia
0,2,900,7
1,2,900,8
3,11,600,3
4,11,600,8
5,11,300,9
6,11,300,9
7,11,300,9
8,11,600,1
9,11,900,8
10,11,900,8
12,16,900,1
13,16,900,6
14,16,600,5
15,16,300,8
17,28,600,7
18,28,600,4
19,28,600,3
20,28,900,7
21,28,600,3
22,28,300,10
23,28,300,10
24,28,900,1
25,28,600,8
26,28,300,7
27,28,600,1
29,44,600,2
30,44,300,5
31,44,300,5
32,44,900,7
33,44,300,7
34,44,600,4
35,44,900,9
36,44,300,9
37,44,300,9
38,44,300,2
39,44,600,2
40,44,300,9
41,44,600,3
42,44,600,9
43,44,300,9
45,46,300,2
48,54,300,4
49,54,900,8
50,54,900,6
51,54,600,6
52,54,600,5
53,54,600,2
57,60,600,2
58,60,600,7
59,60,600,9
62,64,600,7
63,64,900,9
65,69,600,10
66,69,300,3
67,69,600,3
68,69,300,9
70,73,600,6
71,73,600,8
72,73,600,4
74,77,900,5
75,77,300,1
76,77,600,9
78,86,600,8
79,86,600,10
80,86,600,6
81,86,300,7
82,86,900,6
83,86,900,2
84,86,300,9
85,86,600,1
87,106,300,2
88,106,300,7
89,106,900,10
90,106,900,8
91,106,900,2
92,106,300,6
93,106,600,7
94,106,300,7
95,106,600,7
96,106,600,4
97,106,900,8
98,106,600,7
99,106,300,8
100,106,300,10
101,106,300,10
102,106,300,1
103,106,600,2
104,106,300,7
105,106,900,10
107,116,600,10
108,116,300,1
109,116,900,5
110,116,900,10
111,116,600,3
112,116,600,2
113,116,300,8
114,116,600,6
115,116,900,10
117,120,900,4
118,120,600,9
119,120,300,3
121,125,600,10
122,125,900,9
123,125,600,6
124,125,600,7
126,127,600,7
128,131,300,2
129,131,300,9
130,131,300,6
133,141,300,9
134,141,900,10
135,141,600,1
136,141,600,10
137,141,300,8
138,141,900,10
139,141,900,8
140,141,300,4
142,144,900,5
143,144,900,3
145,148,900,2
146,148,600,9
147,148,900,9
149,153,300,7
150,153,900,4
151,153,300,10
152,153,300,4
155,159,600,6
156,159,900,2
157,159,300,5
158,159,600,9
161,163,600,2
162,163,600,10
165,166,600,10
167,176,600,6
168,176,300,5
169,176,900,2
