id,nombre,tipo
0,Servidor0,cliente
1,Servidor1,cliente
2,Servidor2,router
3,Servidor3,cliente
4,Servidor4,cliente
5,Servidor5,cliente
6,Servidor6,cliente
7,Servidor7,cliente
8,Servidor8,cliente
9,Servidor9,cliente
10,Servidor10,cliente
11,Servidor11,router
12,Servidor12,cliente
13,Servidor13,cliente
14,Servidor14,cliente
15,Servidor15,cliente
16,Servidor16,router
17,Servidor17,cliente
18,Servidor18,cliente
19,Servidor19,cliente
20,Servidor20,cliente
21,Servidor21,cliente
22,Servidor22,cliente
23,Servidor23,cliente
24,Servidor24,cliente
25,Servidor25,cliente
26,Servidor26,cliente
27,Servidor27,cliente
28,Servidor28,router
29,Servidor29,cliente
30,Servidor30,cliente
31,Servidor31,cliente
32,Servidor32,cliente
33,Servidor33,cliente
34,Servidor34,cliente
35,Servidor35,cliente
36,Servidor36,cliente
37,Servidor37,cliente
38,Servidor38,cliente
39,Servidor39,cliente
40,Servidor40,cliente
41,Servidor41,cliente
42,Servidor42,cliente
43,Servidor43,cliente
44,Servidor44,router
45,Servidor45,cliente
46,Servidor46,router
47,Servidor47,router
48,Servidor48,cliente
49,Servidor49,cliente
50,Servidor50,cliente
51,Servidor51,cliente
52,Servidor52,cliente
53,Servidor53,cliente
54,Servidor54,router
55,Servidor55,router
56,Servidor56,router
57,Servidor57,cliente
58,Servidor58,cliente
59,Servidor59,cliente
60,Servidor60,router
61,Servidor61,router
62,Servidor62,cliente
63,Servidor63,cliente
64,Servidor64,router
65,Servidor65,cliente
66,Servidor66,cliente
67,Servidor67,cliente
68,Servidor68,cliente
69,Servidor69,router
70,Servidor70,cliente
71,Servidor71,cliente
72,Servidor72,cliente
73,Servidor73,router
74,Servidor74,cliente
75,Servidor75,cliente
76,Servidor76,cliente
77,Servidor77,router
78,Servidor78,cliente
79,Servidor79,cliente
80,Servidor80,cliente
81,Servidor81,cliente
82,Servidor82,cliente
83,Servidor83,cliente
84,Servidor84,cliente
85,Servidor85,cliente
86,Servidor86,router
87,Servidor87,cliente
88,Servidor88,cliente
89,Servidor89,cliente
90,Servidor90,cliente
91,Servidor91,cliente
92,Servidor92,cliente
93,Servidor93,cliente
94,Servidor94,cliente
95,Servidor95,cliente
96,Servidor96,cliente
97,Servidor97,cliente
98,Servidor98,cliente
99,Servidor99,cliente
100,Servidor100,cliente
101,Servidor101,cliente
102,Servidor102,cliente
103,Servidor103,cliente
104,Servidor104,cliente
105,Servidor105,cliente
106,Servidor106,router
107,Servidor107,cliente
108,Servidor108,cliente
109,Servidor109,cliente
110,Servidor110,cliente
111,Servidor111,cliente
112,Servidor112,cliente
113,Servidor113,cliente
114,Servidor114,cliente
115,Servidor115,cliente
116,Servidor116,router
117,Servidor117,cliente
118,Servidor118,cliente
119,Servidor119,cliente
120,Servidor120,router
121,Servidor121,cliente
122,Servidor122,cliente
123,Servidor123,cliente
124,Servidor124,cliente
125,Servidor125,router
126,Servidor126,cliente
127,Servidor127,router
128,Servidor128,cliente
129,Servidor129,cliente
130,Servidor130,cliente
131,Servidor131,router
